subject,subject_en,type
Kontakt für die Erkundigung über die Sicherung medizinischer Daten mit Zapier und Empfehlungen zur IT-Best Practice für Krankenhäuser,Contact for research on the protection of medical data with soap and recommendations for IT best practice for hospitals,Request
[NO_SUBJECT],[NO_SUBJECT],Incident
Unterstützung erbeten,Ask for support,Incident
Verbesserung der Investitions-Optimierungsprozesse durch Data Analytics,Improving investment optimization processes by data Analytics,Request
Fehler bei Zugriff auf medizinische Akten,Error accessing medical records,Incident
[NO_SUBJECT],[NO_SUBJECT],Request
Betreff: Problembericht zu unseren Projektmanagementwerkzeugen,Subject: Test report on our project management tools,Incident
Cyber-Sicherheit in Gesundheitseinrichtungen,Cyber safety in health facilities,Request
Bekanntschaft mit der medizinischen Datensicherheitsstörung,Knowledge of medical data security,Incident
Datenverlust Melden,Data Loss Log In,Problem
Probleme bei ClickUp,Problems With ClickUp,Problem
Langsame Leistung bei Redis 6.2,Long term performance at Redis 6.2,Problem
Verbessern Sie die Datennutzungssicherheit jetzt,Improve data security now,Change
Probleme mit der Verbindung zum Server,Problems connecting to server,Problem
Frage zur Digitalen Marketing-Dienstleistung heute,Question of the digital marketing service today,Request
Datenintegrationssystem-Probleme,Data Inclusion System Problem,Problem
Details zur Sicherung medizinischer Daten im IBM Cloud-Dienst,Details on the protection of medical data in the IBM Cloud service,Request
Mangelnde Data Analytics Dashboard-Funktion,Missing Data Analytics Dashboard-function,Incident
Integration von Google Meet in unser Projektmanagement-Software,Integration of Google Meet in our project management software,Change
NAS-Datenanalysewerkzeuge für Investoren,NAS Data Analysis Tool for Investors,Request
Interesse an Integration von Smart-Steckdose in euren SaaS-Projektmanagement-Tool,Interest in integration of smart stock dose in your SaaS project management tool,Request
Probleme bei der Nutzung der SaaS-Funktionen,Problems with the use of SaaS functions,Incident
Betreff: Meldung zum Sicherungsschutz medizinischer Daten und mögliche Ursachen des Problems,Subject: Notification for the protection of medical data and possible causes of the problem,Problem
Verschlüsselungsprobleme im System,Encryption problems in the system,Problem
Unterstützung im Bereich Markenwachstum,Support in the field of market growth,Request
Anfrage zur Unterstützung bei der Verbesserung der Kompatibilität für das Project Management SaaS-System mit der Corsair Dark Core RGB Pro SE Maus unter macOS-Anwendungen,Request for support in improving project management SaaS system compatibility with Corsair Dark Core RGB Pro SE Mouse under MacOS applications,Change
Datenanalyseertools für Xero,Data analysis tools for Xero,Request
Die Genauigkeit des Investmentmodells ist unerwartet wieder abgenommen,The accuracy of the investment model is unexpectedly taken again,Problem
Probleme bei Investmentsoptimierungsmodul,Problems with investment optimization module,Problem
Änderungen der Rückgaberegelungen,Amendments to the recovery arrangements,Change
Verschlüsselung der medizinischen Daten für PostgreSQL 13,Encryption of medical data for PostgreSQL 13,Request
Informationen über Data-Analytics-Tools für die Optimierung von Anlageportfolios,Information about data-analytics tools for optimising investment portfolios,Request
Unterstützung bei der Integration von Datenanalyse,Support for data analysis integration,Request
Hinweis zum Smart-Roboter-Mopp-Problem,Tip of the Smart Robots-Mopp problem,Problem
Heute wieder Absturz der Datenanalyse-Plattform,Rescan the data analysis platform today,Incident
[NO_SUBJECT],[NO_SUBJECT],Request
Ver appréhender l'augmentation inattendue des métriques de la campagne numérique,See the unexpected increase in the metrics of the digital campaign,Incident
Verbessern von Datenanalysewerkzeugen für die Investitionsoptimierung,Improving data analysis tools for investment optimisation,Change
Verschlüsselung medizinischer Daten in Linux Mint Hospital-IT-Systemen,Medical data encryption in Linux Mint Hospital IT systems,Request
Unvorhergesehene Rechnungsdisparitäten bei mehreren Produkten beobachtet,Unforeseen accounting differences are observed in several products,Incident
Investment Daten verfügbarkeit beeinträchtigt durch Datenbankproblem,Investment Data availability affected by data bank problem,Incident
Beim Microsoft Surface Pro 8 bricht das Projektmanagement-Tool ab,Opens project management tool for Microsoft Surface Pro 8,Incident
Probleme bei der Projektterminsynchronisation,Project Term Synchronisation Problems,Incident
Gesundheits Sicherheit,Health Safety,Request
Forderung Details zu Datenanalyse-Dienstleistungen,Request details on data analysis services,Request
Projektsystemanforderungen,Project System Requirements,Request
Sichere Verwaltung medizinerle Daten in Krankenhaus-Systemen,Safe management of medical data in hospitals,Request
Verlangsamung des Markenimages trotz digitaler Strategie,Delaying the brand image despite digital strategy,Problem
Datenschutz im Bereich Medizin,Data protection in the field of medicine,Request
Istcstdlib mit Kampagnenmetriken,Istcstdlib with campaign metrics,Incident
Auffrischung meiner Konto-Daten,Refreshing my account data,Request
Datensperrverstoß,Data Interference,Incident
Unerlaubter Zugriff auf Datensätze,Access to data sets is not allowed.,Incident
Datenanalysewerkzeuge mit Pluralsight für Investitionsoptimierung,Data analysis tools with pluralview for investment optimization,Request
Suche nach Anleitungen zur Sicherung medizinischer Daten im IBM Cloud Docker-Umfeld für Krankenhäuser-IT,Search for guidance for medical data in the IBM Cloud Docker Camp for Hospitals-IT,Request
Unvorhergesehene Login-Problem Heute Morgen,Unforeseen Login Problem Today Morning,Incident
Probleme mit den Integrationswerkzeugen,Problems with integration tools,Incident
Serverausfall bei Projektmanagement-System,Server Output in Project Management System,Incident
Fehlermeldung: Software-Ausfall während des Projekt-Synchronisierungs-Prozesses,Error message: Software output during project synchronisation process,Problem
Unterstützung für Probleme bei der Investitionsanalyse,Support for problems in investment analysis,Problem
Fehler bei den Datenanalyse-Dashboards melden,Report a bug in the data analysis Dashboards,Problem
Integrieren von Microsoft Teams für Projektmanagement-Software-as-a-Service,Integration of Microsoft Teams for Project Management Software-as-a-Service,Request
Unklare Synchronisationsprobleme zwischen QuickBooks Online und Bitbucket infolge von API-Ratenbeschränkungen oder Netzwerkproblemen,Unclear synchronization problems between QuickBooks Online and Bitbucket resulting from API Council restrictions or network problems,Incident
Medizinische Datensperre in Telegram,Medical data barrier in Telegram,Incident
Sicherheit von medizinischen Daten mit Bitdefender,Safety of medical data with Bitdefender,Request
[NO_SUBJECT],[NO_SUBJECT],Request
Unstimmigkeiten bei der Datensynchronisation,Inconsistencies in data synchronization,Problem
[NO_SUBJECT],[NO_SUBJECT],Problem
Probleme mit Investment-Prognosen,Problems with investment projections,Incident
[NO_SUBJECT],[NO_SUBJECT],Request
Fehlern bei allen Werkzeugen während des Projekt-Syncs,Errors in all tools while syncing the project,Incident
Probleme bei der Datenbereinigungssoftware,Problems with data collection software,Incident
Anfrage nach Integration von Smart-Tracker in Apache Hadoop 3.2.1,Request for integration of Smart Tracker in Apache Hadop 3.2.1,Request
Anfrage zu Projektmanagement-Software,Project Management Software Request,Request
Probleme mit der Zugriffsfunktion auf kritische SaaS-Funktionalitäten gemeldet,Problems reported with access function on critical SaaS features,Incident
Medizinische Datensicherheit Verbesserung Anfrage,Medical data security Improvement request,Change
Erweiterung des Marktes,Enlargement of the market,Request
Bereitstelle erweiterte Sicherheitsmaßnahmen,Provide additional security measures,Change
Unvorheriger Absturz der Datenanalyse-Plattform gemeldet,Unexpected end of data analysis platform reported,Incident
Sichere Datensicherstellung,Secure Data Security Settings,Change
Unstabilität der Investitionsdaten-Analyse-Plattform,Instabilities of the investment data analysis platform,Problem
Probleme mit dem Login-System heute,Problem with the login system today,Incident
Fehlermeldung Data Analytics Plattform,Fehlermeldung Data Analytics Plattform,Incident
Problem mit Digital-Campagne-Metriken,Problem with Digital Campagne Metrics,Incident
Suche nach Optimierung von Investitionen mit MATLAB R2021a,Search for optimisation of investments with MATLAB R2021a,Request
[NO_SUBJECT],[NO_SUBJECT],Change
Bitten um Unterstützung für die Energieverbrauchsanalyse des EVGA SuperNOVA 750 G5,Please support EVGA SuperNOVA 750 G5 energy consumption analysis,Request
Optimierung der Rechnungsstellung für Investitionsanalyse-Dienstleistungen,Optimisation of the calculation for investment analysis services,Request
Informationen über Jahresabonnementpreise,Information on annual subscription prices,Request
Verfügbare Tools für Datenanalyse im Rahmen von Mitarbeiter-Training,Available tools for data analysis in the framework of staff training,Request
Probleme mit dem Investment-Datenanalyse-Tool,Probleme mit dem Investment-Datenanalyse-Tool,Problem
Brauche Unterstützung bei der Datenanalyse,Need support for data analysis,Request
Problem mit Google Meet und Discord nach ESET NOD32 Antivirus 14 Installation,Problem with Google Meeting and Discord by ESET NOD32 Antivirus 14 Installation,Incident
Service Unterbrechung,Service Interrupt,Incident
Technische Sorge,Technical concerns,Incident
CCleaner Kompatibilitäts-Probleme,CCcleaner Compatibility Problems,Problem
[NO_SUBJECT],[NO_SUBJECT],Request
Datensperre KI-Notsystem,Data-saving KI Note System,Incident
Forderung für Unterstützung bei Digitalen Marketingstrategien,Request for support for digital marketing strategies,Request
Erkanntes Unautorisiertes Zugriffsanliegen bei Medizinischen Datenbanken,Acknowledging unauthorised access to medical databases,Incident
Problem mit dem Investment Data Analytics Dashboard,Problem mit dem Investment Data Analytics Dashboard,Incident
Viele Anwendungen schlagen beim Starten fehl,Many applications failed to start,Incident
Unterstützung bei digitalen Strategien für Markenwachstum,Support for digital brand growth strategies,Request
[NO_SUBJECT],[NO_SUBJECT],Change
Sicherheitslücke in KI-System der Krankenhausinfrastruktur,Safety accidents in the KI system of the hospital home infrastructure,Problem
Investment-Projektionen sind heutzutage ungenau,Investment projections are today less accurate,Incident
Probleme bei dem Investment-Predictions-Dienst,Problems with the Investment Predictions Service,Incident
